1 4715
2 1906
3 957
4 603
5 459
6 324
7 241
8 207
9 159
10 125
11 120
12 119
13 83
14 96
15 74
16 52
17 49
18 57
19 46
20 43
21 30
22 29
23 31
24 34
25 21
26 19
27 25
28 19
29 22
30 22
31 12
32 16
33 13
34 14
35 19
36 17
37 8
38 14
39 10
40 13
41 15
42 10
43 7
44 9
45 11
46 9
47 8
48 8
49 4
50 6
51 9
52 6
53 3
54 2
55 6
56 4
57 4
58 2
59 6
60 6
61 2
62 6
63 3
64 3
65 4
66 2
67 3
68 4
69 2
70 4
71 4
72 4
73 7
74 5
75 1
76 1
77 2
78 2
79 4
80 3
81 1
82 3
83 3
84 4
85 4
86 3
88 3
89 1
90 2
91 2
93 3
94 2
95 1
96 3
97 3
98 2
99 2
100 1
101 3
102 3
103 1
104 2
105 1
106 2
107 4
108 4
110 1
111 2
112 1
113 2
114 1
115 2
116 2
118 2
119 3
120 1
121 1
125 3
126 1
127 1
129 1
131 2
132 1
133 1
134 2
140 1
141 1
142 1
143 2
147 1
148 1
149 3
150 2
151 1
152 2
154 2
158 1
159 1
166 2
168 1
169 2
172 1
173 1
175 2
176 1
179 1
185 1
189 1
193 1
194 2
195 2
199 1
205 1
206 1
207 1
213 1
216 1
217 1
220 1
227 1
231 2
234 1
236 1
238 1
241 1
246 1
248 1
250 1
260 1
261 1
268 1
269 1
272 1
274 1
282 1
286 1
294 2
303 1
311 1
312 1
313 2
317 2
319 1
324 1
340 1
345 1
346 1
347 1
381 1
410 1
411 1
414 1
433 1
450 2
460 1
481 1
502 2
539 1
546 1
554 1
576 1
602 1
617 1
636 1
649 1
657 1
675 1
696 1
719 1
932 1
973 1
981 1
987 1
1034 1
1120 1
1146 1
1164 1
1207 1
1408 1
1529 1
1568 1
1777 1
2031 1
2081 1
2191 1
2320 1
2479 1
3052 1
3225 1
3231 1
3657 1
4267 1
5337 1
5508 1
5975 1
6071 1
6243 1
6420 1
6772 1
6848 1
7486 1
9194 1
